Context utterance,Response utterance,Implicature
are you following me?,I'll tell you why.,Yes.
Is this not the most perfect kingdom of them all?,"Well, technically you're not a king.",No.
Can't we just settle this over a pint?,Kill the beast!,No.
Exactly the way it was?,Down to the last slime-covered toadstool.,Yes.
"Let's have a dance then, shall me?",Don't do that!,No.
"Should it not be a wonderful, romantic moment?","sorry, lady. There's no time.",Yes.
can you tell my future from these stars?,"The stars don't tell the future, Donkey. They tell stories.",No.
Are you all right?,Perfect! Never been better.,Yes.
You heard what I said?,Every word.,Yes.
Can you forgive me?,"Hey, that's what friends are for, right?",Yes.
"You wanna do this right, don't you?",What are you talking About?,No.
Can somebody come inhere and work on Shrek please?,I will see what I can do.,Yes.
is this really necessary?,"Quite necessary, Fiona.",Yes.
Don't you ever think about having a family?,"Right now, you're my family.",No.
"Shrek, are you okay?",Oh... I can't believe I'm going to be a father.,Yes.
Did you just say you were looking for Arthur?,That information is on a need to know basis.,No. I dont want to tell anything again.
This is a costume?,Aaaiyyyy... worked on it all night long!,Yes.
"So wait, I'm really the only heir?",The one and only.,Yes.
Are you sure this is a good idea?,"Look, if Artie trusts him, that's good enough for me.",Yes.
Hi honey! Sorry we're late. You okay?,"Much better, now that you're here.",Yes.
Did they like the proposal we put together?, It looks like it’s back to the drawing board.,No.
Did he like the college?,He said he had the time of his life.,Yes.
Was Benny emotional?,Benny always wears his heart on his sleeve,Yes.
Is he rich ?,He was born with a spoon in his mouth.,Yes.
Is your business profitable?,we’re in the black this year.,Yes.
Was he happy?,was on cloud nine.,Yes.
Is everyone comfortable?,Everyone is on pins and needles,No.
Does it rain frequently?,It only rains here once in a blue moon.,No.
How was the meeting with the client today?,We really knocked it out of the park.,It went well.
Did he get a huge profit?,He sold his website for peanut.,No.
Could you perform well?,Being bilingual would help put me ahead of the pack.,Yes.
"aside from the other reasons for your visit to America, are you interested in my offer we discussed?",I must confess... I still don't know exactly what we are to do for you.,Yes.
Have you been avoiding me? Barely seen you since I got home.,I have been busy.,No.
Are you trying to make me mad?,"I'm just saying, I'd understand if you were upset. ",No.
Is that what this is about? You think Splinter likes me best?,"You'd love that, wouldn't you?",Yes.
"Will you have tea, Mister Welles?",Thank you.,Yes.
You're gonna be seeing a lot of me. You're sure you don't mind?,It's good what you're doing.,Yes.
"You're like, a private detective?",That's exactly what I am.,Yes.
Do you think the police did a good job?,I don't know. I think so.,Yes.
Do you ever consider... do you realize that Mary may never come back?,"I think about it everyday. But, every time the phone rings... every single time, I still think it's her.",No.
You dug this up all by yourself?,"You told me to look, so I looked.",Yes.
"Can you get this suitcase to her parents, if you think it's appropriate?",I'll do what I can.,Yes.
You want me to come out there and play private eye?,Consider it.,Yes.
Are you feeling alright?,"I've been ordered into bed. The doctor says I've gotten the flu, or some other wretched ailment.",Yes.
Have you any news for me?,I've made progress.,Yes.
You have a beautiful face... the way the light hits it. I'd like to take your picture. You don't mind?,I'd rather you didn't.,I dont want you to take my picture
"You trust me to keep your money, but not to take your picture?",Those are two different kinds of trust.,Yes.
You brought the money?,Right here.,Yes.
You enjoy it?,Made me sick,No.
You think it's so easy?,Easy enough for you.,Yes.
They poisoned the rag?,Not according to them.,No.
Have you ever been in a courtroom?,I once had my drivers license suspended. ,Yes.
Would you like me to take care of that?,if you feel like it.,Yes.
"He's that bad, huh?","Not only that, but word of this letter's bound to get out.",Yes.
Any luck getting me replaced?,Is there anyone in this command that you don't either drink or play softball with?,No.
You got authorization from Aunt Ginny?,"I gave her a call like you asked. Very nice woman, we talked for about an hour. ",no. Not exactly.
"You don't believe their story, do you?",I believe every word they said.,Yes.
Have I done something to offend you?,I like all you Navy boys.,No.
Do you like that theory?,Sounds good. Let's move on.,Yes.
Do you think we were right?,I think you'd lose.,No.
Were daddy's expectations really that high?,"Please, spare me the psycho-babble father bullshit.",Yes.
Do you believe they have a defense?,"It doesn't matter what I believe, it only matters what I can prove.",Yes.
Did he ever fall back on a run?,"All the time, sir.",Yes.
"Admiral, how's the big case goin'?",Nose to the grindstone.,We are working hard to solve the case.
Did you go there?,I didn't need to --,No.
"in your opinion, was Private Santiago a good marine?",I'd say he was about average.,No.
Did you report Private Barnes to your superiors?,"I remember thinking very highly of Private Barnes, and not wanting to see his record tarnished by a formal charge.",No.
Did he commit a crime?,He disobeyed an order.,Yes.
Am I right?,I would think so.,Yes.
"You think they'll let us go back to our platoon soon, ma'am?",Absolutely.,Yes.
And you think you can got him to just say it?,I think he wants to say it,Yes.
Do you have an answer?,Absolutely.,Yes.
You're admitting evidence of a flight that never existed?,"We believe it did, sir.",No.
And Kendrick was clear on what you wanted?,Crystal.,Yes.
Are we clear?,Crystal.,Yes.
You want answers?,I think I'm entitled to them.,Yes.
You want answers?!,I want the truth.,Yes.
Did you order the code red?,You're goddamn right,Yes.
"And very handsome, too, don't you think?",I'll see you around the campus.,No.
Who do you think I should call?,I'll pick you up at seven.,No. I shall pick you up.
Do you feel you shouldn't take it today?,Today's my birthday. I always make bad decisions on my birthday.,Yes.
You were a smoker?,Two packs a day.,Yes.
And you didn't try to find out who?,"Believe me, I've done everything possible short of asking Agnes.",No.
Did you ask her?,ve done everything possible short of asking her,No.
you think he loves you?,"Oh, I know he does.",Yes.
Do you have field hands that help you?,We work the land alone.,No.
Do you think hysteria could do that?,It's being doing it for centuries.,Yes.
That's what you're afraid of isn't it? ,You bet I am.,Yes.
You liked Sister Paul?,She was kind to me. She told me I was beautiful.,Yes.
Do you suppose I was dropped on my head?,I hope not.,No.
You have trouble sleeping?,I get headaches.,Yes.
But you're troubled... aren't you?,That's because you keep reminding me.,Yes.
"Are you feeling, alright?",I'm afraid.,No.
And do you want my permission?,I'd like yours too.,Yes.
Does my smoking bother you?,it reminds me.,No.
Do you like brussel sprouts?,I hate them.,No.
Do you feel better?,Frightened.,No.
Do you have these journals?,I can have them flown here from Geneva in an hour.,No.
Is the Pantheon even a church?,Oldest Catholic church in Rome!,Yes.
You really know how to use that gungave you?,I can tag a breaching porpoise from forty meters off the bow of a rocking ship.,Yes.
You okay?,More or less.,Yes.
Didn't he work for the Church?,Almost exclusively.,Yes.
You're sure this time?,I need a map.,No.
"Professor, would it surprise you to find those clothes suit you?",It would surprise the hell out of me.,Yes.
"You don't smoke, do you?",A little bit.,Yes.
You're all right?,Cold and wet but alive.,No.
Do you still have the gun?,You told me to give it back.,No.
You think it's a sign?,"Everything has been a sign, why should this be any different?",Yes.
is this the ferry to the St. John house?,Any second now.,Yes.
YOU all buddies?,Except for Skip and Nan. Them we just met.,No.
Do you think father made all his money?,He inherited it.,No.
Do you realize how perfectly unmatched we are?,It's made up about one thing though.,Yes.
We're supposed to believe that?,That's right.,Yes.
Are you taking this the road to med school?,I'm going to try.,Yes.
Do you want a flashlight?,that's okay. I'll be fine.,No.
"Let's see if the dead are ticklish, shall we?",Don't you touch him!!,No.
And have you any other truths to tell me?,You already know what they are.,Yes.
Do you enjoy fishing underwater?,I detest it.,No.
shall I wear this one?,It is gorgeous.,Yes.
But aren't you afraid?,"Ma'am, sharks never attack anybody.",No.
Will the three of us fit?,There's plenty of room.,Yes.
aren't you coming?,I'm certainly not going to swim across.,No.
Are you the owner of this place?,The owners are in Australia.,No.
Do you mind if I ask Raimondo to go with him?,I don't see why I should mind.,No.
And you say that came from Lisca Bianca?,It couldn't have come from anywhere else.,Yes.
Is it also true that you saw no boat around here at Lisca between yesterday and this morning?,"How many times do I have to tell you, Marshal, that I was at Panarea.",No.
And did the young lady who was with you here?,She said she had to catch a Train.,No.
Have you found the place at last?,It was futile.,No.
Are you Zuria?,He's inside.,No.
Does it look good?,It is divine.,Yes.
Were you hiding from me?,I didn't want to scare you.,Yes.
"But you're saying, you're a daughter of Eve?","Well, my mum's name is Helen…",No.
Can I help you with that?,Why thank you!,Yes.
"Now, are you familiar with the Narnia lullabies?",I'm afraid I'm Not,No.
but weren't you wondering where I was?,That's the point! That's why he was seeking you!,Yes.
Could you make me taller?,I can make anything you like to eat.,No.
Couldn't I have some more now?,I don't want to ruin you appetite.,No.
You....you actually believe her?,Well don't you?,Yes.
is there nothing we can do about Mr. Tumnus?,well.. there's hope!,No. We can do something about Mr.Tumnus.
waiting for us?,You got to be joking!,No.
You're blaming us?,I am thanking you.,No.
You're leaving?,It has been a pleasure my Queen.,Yes.
"It's the world dear, did you expect it to be small?",Smaller...,Yes.
You've been sneaking second helpings haven't you?,"Well you never know what meal is gonna be your last, especially with your cooking. ",Yes.
Remember when we use to have fun?,before you go boring.,Yes.
Aren't you suppose to be in bed?,We couldn't sleep,Yes. We were in bed. But we could not sleep.
Are you with me?,To the death!,Yes.
Will we ever go back?,"I expect so, probably when you least expect it.",Yes.
You invented fire?,I told you that.,Yes.
Have you found another school for the children?,We're still shopping around.,Yes.
But do you think next time we could go to the same game?,No problem.,Yes.
"Fred, is there something you want to tell me about the lodge meeting?",I don't wanna think about it.,No.
You mean beside Fred?,I mean including Fred.,No.
"That's some magnificent view, isn't it?",It's wonderful -- Life is wonderful!,Yes.
You've seen it?,it's top secret but he's been telling me about it.,No.
Will you be sure to tell them about it?,Absolutely. Don't worry about a thing.,Yes.
don't you stay for a nightcap? ,I've gotta get up early,No.
Are you leaving at dawn for South America?,the night's still young!...,Yes.
Did you finish?,I didn't get anywhere.,No.
You mean you don't know who she is?,No way.,Yes.
So is this the best brand?,Pediatricians recommend this.,Yes.
Can you open this?,No way.,No.
"Oh, so this is the best kind?",It's the cheapest.,No.
Then it's the worst kind?,"They're all good, sir.",No.
But didn't those friends of yours tell you what formula they usually give the baby?,actually they had to leave unexpectedly. They had to catch a plane…,No.
Want me to give you a hand changing her?,"don't worry, I'm used to it.",No.
Are you sure that's the plan?,You bet that's the plan!,Yes.
You think the cops have our phone bugged?,I don't think that's legal,No.
And where are you going to sleep?,"Well, I expect you to show me to my quarters.",in the quarters.
Don't you do the shopping yourself?,No shopping or laundry or housekeeping. I am a professional nanny.,No.
Do you have a sufficient amount of fruit and vegetables for the child?,She only eats milk and cereal.,No. She does not eat that.
Whose shift is that?,Well... I thought you might do it..,It is your shift.
Does she always cry like that?,she's usually very Sweet..,No.
Does she always cry like that?,It's only because she's teething.,No.
Do you want me to take her?,I have to burp her first.,No.
Is Sylvia in?,he'll be back in a couple of hours.,No.
You really hearing voices?,Just one.,Yes.
He still dead?,Far as I know.,Yes.
Could he hit?,Lifetime 356 average. Third highest in history.,Yes.
Am I nuts?,Not completely.,Yes.
Any sign?,Something's going to happen out there. I can feel it.,Yes.
"I bet its good to be playing again, huh?",It was like having part of me amputated.,No.
Can you pitch?,I'm not bad.,Yes.
Would you like to come inside'?,"Uh, thanks, but...I don't think I will.",No.
Is this heaven?,It's Iowa.,No.
You do this often?,It's my first time.,No.
Can I get a small one?,"They come in all sizes honey, just like shoes.",Yes.
Can we go today?,I'm very sick.,No.
Wanna go to Gray's orchard and pick some peaches?,I'm going home.,No.
Is there anything wrong with her??,"Oh, she's just pretending.",No.
Want a piece of chocolate?,I'm allergic to it.,No.
"I think you'd make a fine writer, did you ask your Dad?",He won't give it to me.,No.
Can I get the money now ?,"Ahh, maybe next summer.",No.
Can we look around in your camper?,I'll give you the royal tour.,Yes.
Are you married?,I'm divorced.,No.
Are you dressed up to go to bingo?,"Ahh, I just wanna look nice.",No.
Would you like us to get you another goldfish?,He's fine.,No.
You can come to my house for dinner?,I'm hiding out.,No.
Weren't you afraid you couldn't escape ?,But it's only a story.,No.
is he a nutcase?,He's a Rockbiter.,No.
"We, we can't wait for a snail. Do you want me to carry you?","Don't worry, it's a racing snail.",No.
Is there someone else here too?,"We haven't spoken to anyone else for thousands of years, so we started talking to ourselves.",No.
Do you have a cold?,We're allergic to youth.,No.
Can I get there?,It's ten thousand miles away.,No.
Do you know how to get there?,It's right around the corner.,Yes.
You've already brought me the entire Ten thousand miles?,"Only nine thousand eight hundred and ninety one, as the dragon flies.",No.
Have you ever been to the Southern Oracle ?,"Well, what do you think? I work scientifically.",Yes.
Do you suppose the Ivory Tower is still standing?,"Let's hope so, Atreyu. Let's hope so.",Yes.
You knew about the Earthling child ?!,I knew everything.,Yes.
is it dark always?,In the beginning it is always dark.,No.
Like it ?,it's wonderful !,Yes.
Does this look good?,That's it weirdo!,No.
Is that book about lullabies?,It is about symphonies.,No.
Do you feel comfortable here?,From day one.,Yes.
Are you a morning person?,I’m more of a night owl.,No.
Are you friends?,We almost never see eye to eye.,No.
Could you gets tickets for the concert?,I completely missed the boat.,No.
Is it too risky of an investment?,I think you’re playimg with fire.,Yes.
Are you looking for an expensive laptop?,I’m looking for a reliable one that won’t break the bank.,No.
Are you willing to relocate?,"I’m willing to travel internationally, but relocating is out of the question.",No.
Did you argue with the clerk?,"I was really angry, but I managed to hold my tongue.",No.
Is he generous?,He would give you the shirt off his back,Yes.
Should I decide now?,Why don’t you go home and sleep on it.,No. Think upon it and decide tomorrow.
Did you talk to Kathy?,My manager talked me out of it.,No.
Have they reached an agreement?,It seems they didn’t have any common ground to stand on.,No.
Was that a great offer?,I was on the fence about whether to accept the offer.,No.
Is it a profitable deal?,If you play your cards right.,It can be profitable if you are carful.
Should I convince these clients?,These are really important clients with deep pockets.,Yes.
Will they fire him?, His days are numbered.,Yes.
Do you want to quit?,I’ve never been the type of person who throws in the towel when things get tough.,No.
Is he honest?,He is an open book.,Yes.
Did Jeffery consider jim?,Jeffrey gave him the cold shoulder.,No.
Is he with his parents?,Until he gets back on his feet.,Yes.
Are you going to talk to Mark?,I have a bone to pick with Mark.,Yes.
Are you going to talk to Mark?,I want to get this off my chest.,Yes.
Was all the proposals good?,Only one made the cut.,No.
Do you thing I should buy an iPhone?,I think you can get more bang for your buck with other brands of smartphones,No.
Could they compete against online platforms?,They were fighting a losing battle.,No.
"Well , I am not doing this again Seven courses a semester is too much. I dont have a minute for myself.",I hate to say this but I told you so. ,I knew that the schedule would be too difficult for you.
Do you think that we could use your pickup truck to take the telescope again this weekend?,To be honest I have a lot of dents in my truck after the last field trip.,I dont want to use my truck for the field trip.
Do you think that Dr. Luby will organize a theatre trip to New York this year?,I have already signed up for it.,Yes. I am going on a theatre trip with Dr. Luby.
What is the problem paul. You really look panicked.,I am going to talk to britannica highschool this evening. But I have no idea how to talk to them about engineering.,I have not prepared my presentation.
Tomorrow we are having the first test in our history class. I know you had taken it. I heard that they are impossible to pass.,My experience was just the opposite.,I think history tests were easy.
I have not turned on my AC at office throughout this entrire summer.,I surprised on considering how hot it had been lately.,I find this summer to be unusually hot.
Hey 1 Congratulations on winning the essay competition. The two thousand dollar prize money should really come in handy.,My landlord has asked for increase in rent.,I have decided on how to spend the prize money.
Chapter 16 has not been taught in the class yet. What if Dr. Baum puts it in the test today?,I have heard that he is known for doing things like that. ,Dr. Baum might test students on materials not discussed in the class.
I heard that only 20% of summar jobs are filled up by advertisement. The other 80% are filled up by some other ways.,So I should try some other job search techniques.,I had been applying only for advertised jobs.
I am sorry. I did not bring the tape recorder. I kept it at my door step.,Don't worry. I don't need it before night.,I would like you to return it by tonight.
"So, how much was your flight ticket?",More than I could afford . I had to dig into my savings.,The ticket was expensive.
My class scheduling is so tight. I have three classes in the morning and two in the afternoon. I dont really have time for lunch.,"You should fit it in , you know. Your stomach would rumble if you skip.",Make time for your lunch.
"Yo are dropping out of the marching band. But I thought you loved it. All the travelling, performing before big crowd.","With all that time out of my studies, my grades are starting to skip.","Yes, But I am quitting the band for academic reasons."
I am thinking of getting a new suit for attending Paul's wedding. ,I hope that my old suit still fits. You know how I feel about shopping.,I dont want to buy new suit for me.
What about a movie tonight.,I need to do the finishing tough of my psychology research paper tonight.,I wont be able to come with you for the movie.
I heard that you were looking for jobs. I don't think you will find anything more than part time.,That's fine. Otherwise I would have to skip classes.,I prefer to work part time.
Do you think you feel energetic enough to walk to the studygroup session starting tonight?,I think you have not looked at the weather report.,The session might be cancelled.
Oh! I turned all my white socks pink. I through a red Tshirt in by accident.,Have you tried running them through again with bleach. ,Use bleach on your socks.
I heard your brother is trying for a transfer to another university. ,Not if I can talk him out of it.,I dont think my brother should transfer.
Did you see the weather forecast for this weekend? I cant believe that the temperature is going to dip.,I know. That is my idea about how cold weather should be like.,It is normal to be this low.
This exhibit is a total bore. I dont know why they call it art.,I think I have seen enough.,I want to leave.
"We should think about selecting somebody to lead our study group. You know, somebody who can organize.",Then you can count me out.,I don't think I should lead the study group.
What do you think would be a reasonable price to pay for a new computer.,You are asking the wrong person. My brother gave me mine.,I dont know how much computers cost.
That is a nice jacket. Did you buy it recently?,I bought it long back. I was just waiting for the weather to cool down.,No. It has been warm to wear this jacket.
What is wrong with Felps today. He snapped at me for no reason.,Dont worry. It is just because of semester pressure.,He is not usually bad tempered.
I am sorry. I need to work late tonight. So you can probbly cancel the reservation at the restaurant.,Actually I never got around to make one in the first place. ,We dont have a reservation at the restaurant.
Professor jackson. I am thinking of interviewing all the people in the town for the sociology project. ,Oh! That is quite an undertaking for a short term project. May be you should think about scaling down.,Reconsider your decision to interview so many people.
How do I look in this new sweater. I bought it yesterday. I was in a hurry. I could not try it on.,I like the colour. But it is a little bit tight.,Exchange the sweater for a bigger one.
Do you have any idea how much it would be the postage to send this little package to Australia.,The farthest I have sent is to Canada.,I dont know the postage for a package to Australia.
"Jane is really upset , you did not invite her to your graduation ceremony.",Only four people can attend. My brother cannot turn out. Jane is the next one in the list.,I am going to invite Jane.
Do you know what time the train goes into the city,Normally it is every 20 minutes. But this is the weekend.,Check weekend schedule.
Could you do me a favour. I really need to get this notebook to Cathy. I know she is in your chemistry class this afternoon.,No Problem . Consider it done.,I will give the notebook to Cathy.
This is large. Will this suit her?,She's as thin as a toothpick.,No.
Is he smart?,His brain is the size of a pea.,No.
Is he fat?,He is skinny enough to jump through a keyhole.,No.
Is that a big mall?,That mall is large enough to have its own zip code.,Yes.
Did she smile at you?,Her smile was a mile wide.,Yes.
Do you want a smartphone?,"If I can't get a smartphone, I will die.",Yes.
Will she scold you?,She is going to kill me.,Yes.
Is this shoe comfortable?,These dress shoes are killing me.,No.
Do you like this show?,Just kill me now!,This is so boring.
How is the winter?,It was so cold I saw polar bears wearing jackets,The winter is extremely cold.
Is it an easy job?,She works her fingers to the bone.,No.
Could you finish it?,I had a ton of chores to do.,I was too busy.
Is it hot outside?,You could fry an egg on the sidewalk.,Yes.
Was it expensive?,It cost a bazillion dollars,Yes.
Are you rich?,We don't have two cents to rub together.,No.
Is your neighbour old?,Older than dirt.,Yes.
How long has he been teaching? ,He has been teaching here since the Stone Age.,He has been teaching for a long time.
Is it nearby?,It will only take me two seconds to get there.,No.
Am I going too fast?,You're walking slower than a snail.,No.
Is she a chatterbox?,She never stops talking.,Yes.
Why should I do this ?,A man’s gotta do what a man’s gotta do.,because you are a man.
Is he a naughty?,Boys will be boys.,Yes.
Are you going to quit?,Enough is enough.,Yes.
"Can you help me with this problem? I've been beating my brains out with it, but I just can't solve it.",Beats me.,No. I have no idea.
Was that hot?,The sun was scorching?,Yes.
Did you make this box?, With my own two hands.,Yes.
Did he assist you?,He helped me finish my paper,Yes.
Did they speak in turns?,one after the other.,Yes.
How's your chemistry class?,"It's all right, I guess, but it's not the best class I've ever had.",It was alright.
"You don't look normal. Are you all right?""",I have a headache.,No.
Is it a difficult test?,It would be a piece of cake,No.
Can you lend me some money?,I'm completely broke until payday.,No.
Why are you tired?,I've been on the go all week long.,I had been busy.
Why are you upset?,Dont beat around the bush.,I want direct answers from you.
"Stanley, I've got something to tell you.","Fire away, I am listening with open ears.",Tell me.
Are you hungry?,Maybe we can grab a bite on the way.,Yes.
Did it succeed?,The whole matter is on the verge of failure.,No.
Do you need a a day off?,I can start immediately. Fill me in on the task.,No.
"You got to finish them tonight.
","Ugh, I am through working overtime !",I dont want to work overtime anymore.
"I believe they are very solid.
",I noticed the numbers didn't add up.,There is no reasonable or likely explanation for it.
make sure all the presentation slides are ready on the computer.,don't forget to give me the rundown on the rehearsal.,Give me a detailed report on the rehearsal.
Do you think we need to pursue an aggressive approach in order to remain competitive in the global market ?,I don't believe we should get involved in the cut-throat competition as they do.,No.We dont want to pursue an aggressive approach.
Should we keep promoting our item?,It sells like hot cakes! ,Yes. It sells fast.
Did they agree to fund?,I think I've lucked out !,Yes.
"Do you need someone to help you send messages to customers by email ?
",That's my job. I am on top of that.,No.
Can Mr. Martin come to the phone?,He's all tied up in the staff meeting.,Mr. Martin can't come to the phone
Do you think sales will keep going up like this ?,Keep any eye on the market saturation factor.,Watch the market saturation factor.
Do you think I should finish it fast?,Time is ticking away.,Yes.
Will you start processing soon?,We shall proceed with your order in no time.,Yes.
"Designers, how are booth design going ?",You're making me blush.,I am embarrassed.
Have you finished reading what Chris wrote yet?,I read it last night.,Yes.
How was the novel?,I thought it was well-typed.,It was not a great read.
" Will he really give us that test?
",Does the sun come up in the east these days?,Yes.
" Do you have many relatives?
",Is the sky blue?,Yes.
Can I do it?,What do you know? You are just a babe in the woods.,You wont be able to do this alone.
Is it easy to do?,Working here is no bed of roses.,It is hard.
"If he is such a great actor, why doesn't he move to New York City?",He likes being a big fish in a small pond.,He does not have competition here.
How was the experience?,It was a bitter pill to swallow.,It was difficult.
Are you sad about losing your job?,It turned out to be a blessing in disguise.,No.
How is his attitude?,His attitude is a breath of fresh air.,He has a positive attitude.
How do you feel?,I am a bundle of nerves.,I am tensed.
Is your uncle serious?,My uncle is a real card.,No. He cracks jokes.
Monica called. She will be late for this morning's meeting.,Case in point. We really cannot rely on her.,Be sure that she cant be relied.
Are you sure you are not Don Johnson?,It must be a case of mistaken identity.,No.
What would you like me to make for dinner?,Let's cook something for a change of pace.,Lets cook some thing which we dont usually cook.
Did you meet Bill's son at the picnic yesterday?,He's a chip off the old block.,Bill's son looks like Bill
How is he now?,He has a chip on his shoulder.,He is angry.
How is this restaurant,It is a cut above.,It is better than other restaurants.
Should I go to their house?,It is a den of iniquity.,No. It is not a pleasant house.
Was that an easy job?,it was a devil of a job.,It was difficult.
How is Julie?,She a diamond in the rough.,Julie is a good person.
Are you a Dodgers' fan?,I don't like baseball.,No.
Do you think you can give me a ride home?,A friend in need is a friend indeed.,Yes.
Did you have a good time at the party?,It was gas.,No.
Do you think he has a chance to win?,He doesn't have a ghost of a chance.,No.
Are you sure?,It's a known fact.,Yes.
You don't mind taking care of that dog?,It is a labor of love.,No.
Does he work hard?,He has never done a lick of work in his life.,No.
Is he a good friend?,He's a pain in the neck.,No.
Are you planning to buy a house?,I really want a place to call my own.,Yes.
Were they excited?,you could feel a ripple of excitement.,Yes.
Why don't you get married and have a family?,A rolling stone gathers no moss.,I want to keep myself young.
Could you play well?,"We were really falling apart, but that goal gave us a shot in the arm.",Yes. We played well after the game.
How did you feel?,It was a real slap in the face.,It was rude.
"Adam, you do a good job cooking dinner.",Thank you for the vote of confidence.,Thank you for appreciating that I am good cook.
Is driving without license a serious offense?,Nowadays you don't just get a slap on the wrist.,The punishment will not be mild.
Are you a very good tennis player?,I'm above average.,Yes.
Does it bother you that your husband goes away on long business trips?,Absence makes the heart grow fonder.,No. The time we have spent apart has been good for us.
Should I clean this up?,Don't expect me to act as your maid.,Yes.
Do you recommend that I talk with the boss?,I would advise against it.,No.
How is your grandfather doing?,He is alive and kicking.,He is doing well.
Would he fire me?,He's all bark and no bite.,No.
Would you like to go to the show?,I'm all for it.,Yes.
Did you hear they broke up?,It is probably all for the best. They were not getting along well.,Yes.
Are there any more cookies?,All gone.,No.
Can you read these instructions?,It's all Greek to me.,No. I am not able to understand.
Should I be careful?,I want you home all in one piece.,Yes.
Is the game still on?,it's all over.,No.
Is she healthy?,She is all skin and bones.,No.
Are you ready?,All systems are go.,Yes.
John promised he would be here.,He is all talk and no action.,John is not reliable.
How much did you pay for that watch?,An arm and a leg.,It was very expensive.
"Did I do something wrong?""",I have an axe to grind with you.,Yes. I am angry at you.
Did I make a good bet?,You backed the wrong horse.,No. I dont think so.
"After all that work, they decided not to hire me.",Back to square one.,So you have to do it all again.
I've heard it is the worst place to go to school. Is it?,It's not as bad as all that.,No.
Is it true that you mother has cancer?,She has been sick for three months.,Yes.
Do you have any ketchup left?,We are swimming in it.,Yes. A lot.
Does it bother you that the machine stops working like that?, I'm used to it.,No.
Would you like to order dinner?,Bear in mind that I do not speak French.,No.
I'd like to talk with you again about what happened.,"Oh, come on. Let's not beat a dead horse.",I am not interested.
Did he ask you to marry him?,He has been beating around the bush.,No.
Should I bring my umbrella?,Better safe than sorry.,Yes.
Did you tell her about the dress?,I just bit my tongue.,No.
Could you finish the report on time?,I bit off more than I could chew,No.
Is it too costly?,You are breaking the bank.,Yes.
Did I I see you with Jane at the supermarket?,"We just bumped into each other.""",Yes.
Would you like to go to a party tonight?,I am too tired.,No.
Are you tired?, I've been burning the candle at both ends all week.,Yes.
Are you working hard?,I have been burning the midnight oil.,Yes.
How did your party go?,Oh. We had to call it off.,The party was cancelled.
I thought you had a date tonight?,"I did, but we called it off.",We cancelled it.
Sing with us!,I can't carry a tune.,I am not good at singing.
Did you hear that Williams got fired?,He couldn't cut the mustard.,He could not perform well.
Am I better than your sister?,You can't hold a candle to my sister.,No.
"Please, you must not tell anyone what happened.","""I will carry your secret to my grave.",I will not tell your secret to anyone.
"You were going to take those cookies, weren't you?",We were caught in the act.,Yes.
I thought you didn't like her?,"Well, I changed my mind.",I like her now.
"She always said she would never get married, but now she's the one getting married.",She has changed her tune.,She changed her decision.
We came so close. Really. We almost won that game!,There's no use crying over spilled milk.,It is useless to be sad now.
I would like to take a break,Now is a good time.,This is a good time to take a break.
My motorcycle is not running well.,Try replacing the oil. That might do the trick.,The motorcycle might work if you replace oil.
Do you think that Bill is going to offer you a promotion this month?,I won't count my chickens until they have hatched.,It is too early to decide.
Is he a careful investor?,He never puts all of his eggs in one basket,Yes.
You want me to drink this whole thing?,Down the hatch!,Yes.
What happened to your plans for tonight?,Down the tubes.,it is all ruined.
Can you come to work today?,I'm down with the flu.,No. I am sick.
Did it rain yesterday?,We've been having quite a dry spell lately.,No.
We should dig a garden in the back yard. That would be great.,Easier said than done.,It is not easy to do.
How was lunch?,I ate like a horse.,The lunch was good.
Did you check everywhere?,I checked every nook and cranny.,Yes.
Is th job going to be easy?,You have big shoes to fill.,No.
Are you experienced in this job?,I'm just finding my feet.,I just started recently.
How are you feeling? ,"Yes, I need to get a check up.",I am sick.
Have you seen the price of milk lately?,It has gone sky high.,There is a surge in the price of milk.
Did you like the show?,I got a bang out of it.,Yes.
Should I go straight at this intersection?,Hang a left.,No.
Would you like to hear what I did today?,I am all ears.,I am listening.
Do you want to see a movie?,I'm game.,I am excited about it.
Did you understand question number three?, I was totally in the dark.,No.
Why haven't you opened your restaurant yet?,They have us jumping through hoops to get the license.,It is not easy to get the license.
Did you get angry yesterday?,I completely lost my head.,Yes.
Do you think you will be able to finish your report by five o'clock today?,Not a chance. I'll be busy in meetings all day.,No.
Should we go fishing?,Fishing is off season.,No.
Let's have a pizza for dinner.,I am on diet. ,No.
The coffee machine is broken again.,"I didn't touch it, so don't pin it on me.",I did not break it.
Do you agree with me?,You are preaching to the choir.,Yes.
Are you still working on that same painting?,Hey! Rome was not built in one day!,Yes.
"Hey, do you remember that time you were giving a speech and you dropped your laptop computer?","Oh please, let's not rub salt in old wounds!",Please dont remind me unpleasant things.
So which movie would you like to see?,I'm still sitting on the fence.,I have not decided yet
How was the concert?,The kids were able to sit through the whole thing.,The concert was great.
Let's play another game.,I'm going to sit this one out.,I am not playng this game.
Did you sleep well?,I slept like a baby.,I slept well.
Did he believe you?,"He swallowed it hook, line and sinker.",Yes.
Did you see how much our stock price dropped?,I really took a bath.,I lost a lot.
"Have you seen my watch?
",I will take a look for it around my house.,No.
Do you really believe that?,I am going to take him at his word.,Yes.
Does he love his little girl?,She's the apple of his eye.,Yes.
